pval,areametric,Dkmetric,invrsqmetric,meanDmetric
1,3.72E-09,0.01248274,6.89E-05,0.003026873
0.999,9.37E-05,0.021975048,0.000202742,0.005990702
0.998,0.000188043,0.024066379,0.000249413,0.006765332
0.997,0.000280359,0.025582903,0.000284137,0.00730148
0.996,0.000375935,0.02678936,0.000313538,0.00776902
0.995,0.000471427,0.027786288,0.00033875,0.008148931
0.994,0.000567482,0.028700128,0.000364133,0.00850842
0.993,0.000657252,0.029457364,0.00038607,0.00881441
0.992,0.000752873,0.030139718,0.000408188,0.009099662
0.991,0.000846283,0.030740735,0.000429906,0.009360913
0.99,0.000942163,0.03135134,0.000450701,0.009595764
0.989,0.001036285,0.031899908,0.000470316,0.00982234
0.988,0.00113203,0.032462452,0.000489532,0.010036856
0.987,0.001227733,0.03295668,0.000505444,0.010262343
0.986,0.001318215,0.033456483,0.000523783,0.010466596
0.985,0.001406615,0.033937555,0.000539904,0.010659975
0.984,0.001492444,0.034403978,0.000556449,0.010850017
0.983,0.001583939,0.034848485,0.000572454,0.011028109
0.982,0.001677416,0.03525641,0.00058828,0.011206496
0.981,0.001770394,0.035655088,0.000603647,0.011377138
0.98,0.001857933,0.036053835,0.000619117,0.011543112
0.979,0.001951292,0.036436768,0.000633334,0.011709475
0.978,0.002045727,0.036814177,0.000647966,0.011865133
0.977,0.00213777,0.037181149,0.00066223,0.012025979
0.976,0.002225522,0.037543855,0.000676459,0.01217977
0.975,0.002317159,0.037882824,0.000690862,0.012330757
0.974,0.002417766,0.03819774,0.000704774,0.012474388
0.973,0.002510572,0.038525818,0.000718623,0.012612703
0.972,0.002603809,0.038840549,0.00073256,0.012757443
0.971,0.002693416,0.039176846,0.000745919,0.012894033
0.97,0.002789514,0.039477118,0.00075933,0.013036551
0.969,0.002887401,0.039789372,0.000774001,0.013161453
0.968,0.002982911,0.040065681,0.000787949,0.013286357
0.967,0.003068991,0.040350877,0.000801402,0.013408182
0.966,0.003161287,0.040659307,0.000814029,0.013536842
0.965,0.003254598,0.040933777,0.000827307,0.013661414
0.964,0.003348825,0.041212076,0.000840839,0.01378472
0.963,0.003440621,0.041471529,0.000853285,0.013911642
0.962,0.003527472,0.041732975,0.000865992,0.014042109
0.961,0.003625032,0.042004505,0.000878152,0.014162726
0.96,0.003713669,0.042274086,0.000891131,0.014280427
0.959,0.003810832,0.042531117,0.000904478,0.014395054
0.958,0.003906535,0.04274213,0.000916289,0.014508831
0.957,0.004000015,0.043009074,0.000929041,0.014624959
0.956,0.004095506,0.043256652,0.000941844,0.014740195
0.955,0.004187502,0.043511572,0.000954778,0.014856915
0.954,0.004280074,0.043742083,0.000966663,0.014958771
0.953,0.00437401,0.043971631,0.00097858,0.015065812
0.952,0.004469091,0.044202899,0.000990899,0.015173091
0.951,0.004558316,0.044438486,0.001003011,0.015282313
0.95,0.004653459,0.044648318,0.001015003,0.015392935
0.949,0.004747466,0.044887936,0.001026721,0.015502552
0.948,0.004840834,0.045114927,0.001038664,0.015606713
0.947,0.004933768,0.045333468,0.001050911,0.015712967
0.946,0.005027776,0.045550456,0.001062502,0.015815701
0.945,0.005120169,0.045761299,0.001075771,0.015920379
0.944,0.00520837,0.045983713,0.001087954,0.01602053
0.943,0.005304774,0.046192989,0.001099785,0.016113225
0.942,0.005394557,0.046414442,0.001112152,0.016210337
0.941,0.00548804,0.046632702,0.001123631,0.016307704
0.94,0.00557999,0.046841316,0.001136481,0.016409287
0.939,0.005667317,0.047044077,0.001148,0.016506273
0.938,0.005760161,0.047242979,0.001160813,0.016604771
0.937,0.005846238,0.047435897,0.001172872,0.016699411
0.936,0.00593228,0.047632032,0.001184442,0.016791258
0.935,0.00602467,0.047839251,0.001195441,0.016886841
0.934,0.006121202,0.048036216,0.001206927,0.016985051
0.933,0.00621378,0.048236039,0.001218116,0.017080954
0.932,0.006310987,0.048425738,0.001229567,0.017174112
0.931,0.006401097,0.048605047,0.001241667,0.017268717
0.93,0.006490613,0.048789542,0.001253369,0.017359926
0.929,0.006584587,0.04898374,0.001264695,0.017452142
0.928,0.006674177,0.049172539,0.001276,0.017543242
0.927,0.006767069,0.049380252,0.001288671,0.01763823
0.926,0.006863002,0.049573836,0.001300182,0.017722449
0.925,0.006961733,0.049754726,0.001311611,0.017809996
0.924,0.007051823,0.049944988,0.001322351,0.017899217
0.923,0.007150093,0.050140907,0.001334299,0.01798424
0.922,0.007239875,0.05032076,0.001345732,0.018073703
0.921,0.007335356,0.050507983,0.001357648,0.018161928
0.92,0.007435701,0.050708293,0.001369387,0.018252491
0.919,0.007525716,0.050893215,0.001382035,0.018339676
0.918,0.007618564,0.05107682,0.001393222,0.018424194
0.917,0.007704463,0.051258325,0.001405073,0.01851868
0.916,0.007792294,0.051432845,0.001416423,0.018600125
0.915,0.007888875,0.051607442,0.00142804,0.018689174
0.914,0.007986094,0.051785714,0.001439074,0.018780216
0.913,0.008078479,0.051960784,0.001450237,0.018864918
0.912,0.008169826,0.052145215,0.001461356,0.01894935
0.911,0.008266404,0.052307692,0.001473405,0.01903143
0.91,0.008355129,0.05248756,0.001484829,0.019115364
0.909,0.008449296,0.052659778,0.001496685,0.019195686
0.908,0.008537319,0.052839586,0.001508886,0.019275372
0.907,0.008633534,0.053015873,0.001521166,0.019361782
0.906,0.008733802,0.053188269,0.001532978,0.019443992
0.905,0.008827801,0.053347822,0.001544845,0.019525813
0.904,0.008920056,0.053527591,0.001556494,0.019609781
0.903,0.00900906,0.053706549,0.001567332,0.019695111
0.902,0.009103705,0.053887553,0.001578726,0.019773104
0.901,0.009196262,0.054059169,0.001589989,0.019854686
0.9,0.009294656,0.054222222,0.001601641,0.019932281
0.899,0.009391843,0.054390419,0.001613307,0.020005258
0.898,0.009479959,0.054561113,0.001624892,0.020083784
0.897,0.009576503,0.054743396,0.001636621,0.020157706
0.896,0.009678645,0.054901961,0.001647745,0.020237486
0.895,0.009779455,0.055067253,0.001659111,0.020314037
0.894,0.009873681,0.05522781,0.001670759,0.020390625
0.893,0.009966041,0.055392157,0.001682194,0.020471026
0.892,0.010059994,0.055555556,0.001693869,0.020551781
0.891,0.010155483,0.055708868,0.001705119,0.02062613
0.89,0.010250771,0.055876608,0.001716118,0.020699866
0.889,0.010347584,0.056036744,0.001727379,0.020783353
